view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
192,39.2957,-17.9409,-600.5041,733.7863,-307.0009
193,96.9194,18.2719,-939.4987,-114.0149,312.4736
194,154.0941,-8.7529,-430.3565,-886.0524,-151.6623
195,173.1174,11.0231,-117.2293,-971.2054,190.5633
196,250.2088,-29.2054,818.5605,-294.5581,-486.3035
197,227.9664,-23.3601,679.5801,-612.6190,-395.1779
198,150.8141,-7.2491,-482.1231,-863.1564,-125.7593
199,272.7751,29.6224,865.3674,41.9471,492.6221
200,160.5601,-12.4647,-323.8815,-917.6732,-215.1130
201,17.0800,27.4991,-259.6488,845.0501,460.1844
202,10.1420,-24.4026,-159.8187,893.4260,-411.7583
203,117.1595,4.7063,-883.7624,-453.4028,81.7729
204,327.2687,-27.9018,476.2393,740.9292,-466.3871
205,297.2830,-28.8629,775.7372,400.0959,-481.0947
206,70.1497,-2.3408,-936.6432,338.1409,-40.7066
207,105.6838,11.5036,-940.2611,-264.0083,198.7601
208,191.6977,-19.4003,190.5937,-920.5305,-331.0508
209,93.9578,16.8444,-951.6071,-65.8393,288.8009
210,38.5171,-19.3825,-585.4818,735.5996,-330.7587
211,180.0673,-18.1476,1.1124,-947.0667,-310.4197
212,35.5509,-17.1204,-553.7963,774.9371,-293.3920
213,233.9918,-28.7550,706.7984,-513.6738,-479.4498
214,339.3539,-27.1483,312.6949,829.8847,-454.7638
215,106.3332,26.6086,-855.1232,-250.5942,446.3897
216,97.6770,19.3119,-932.1337,-125.6492,329.5995
217,77.9750,23.7717,-892.0728,190.0222,401.7394
218,343.7029,-28.0689,246.7818,844.0847,-468.9527
219,213.8013,-18.7094,525.1490,-784.4187,-319.6915
220,9.1941,-21.9747,-147.6733,912.3624,-372.9403
221,166.7170,-13.8444,-222.3378,-941.8009,-238.4822
222,288.7314,26.9065,841.6791,285.4075,451.0164
223,287.0347,27.9506,841.7618,257.9101,467.1364
224,114.2121,8.0104,-900.1027,-404.7507,138.8849
225,99.0668,18.4038,-933.8535,-149.0244,314.6528
226,39.1662,-18.4974,-596.9337,732.7939,-316.1964
