view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
85,172.8347,-2.2346,-124.2727,-988.5302,-38.8764
86,201.0449,-11.1684,351.2661,-912.9413,-193.1252
87,266.6859,24.2259,907.7412,-52.5636,409.1332
88,314.0455,-2.7057,715.8828,692.4185,-47.0682
89,7.5475,19.4664,-123.4770,931.9296,332.2766
90,328.8263,-21.2114,481.1517,795.2984,-360.7499
91,81.3731,-14.4056,-954.7939,144.8583,-248.0558
92,73.6015,21.9691,-887.0532,261.0495,373.0105
93,7.6283,-15.4526,-127.5718,952.5215,-265.6602
94,292.3661,-20.9203,861.2772,354.3961,-356.0224
95,290.8752,-8.1697,922.1657,351.6844,-141.6882
96,333.6294,-12.5955,432.2152,871.8155,-217.4277
97,355.7184,21.7193,69.1545,923.7004,368.9745
98,172.6953,-18.1751,-120.4482,-939.6346,-311.0080
99,154.5908,10.6125,-420.5042,-885.2146,183.6255
100,199.5690,2.0297,333.7502,-938.8880,35.3135
101,56.7268,-0.2695,-833.6046,547.0177,-4.6897
102,102.3857,-15.3659,-939.0510,-206.2177,-264.2054
103,101.5422,-17.5934,-931.2116,-190.1719,-301.3747
104,38.7449,8.2319,-617.5905,769.6419,142.7597
105,252.5824,14.1852,922.3438,-289.3569,244.3389
106,156.4575,-24.5990,-362.1137,-831.1188,-415.0448
107,272.0484,-21.2437,928.7220,33.2172,-361.2742
108,49.4554,-0.0495,-757.6729,648.1344,-0.8612
109,268.8412,10.7433,979.3923,-19.8105,185.8636
110,89.3628,-13.8389,-968.0665,10.7664,-238.4921
111,334.3634,-14.3969,417.8459,870.6854,-247.9087
112,79.7596,-12.1008,-959.3847,173.3187,-209.0181
113,78.5144,-6.6644,-970.5005,197.1958,-115.7126
114,46.6219,10.1210,-713.4296,674.1408,175.2125
115,144.0869,18.6661,-554.0762,-765.0574,319.1141
116,153.8379,-22.1577,-407.1537,-828.8293,-376.0516
117,235.5504,-18.8630,778.0503,-533.7319,-322.3586
118,9.8850,-5.4879,-170.3836,977.7646,-95.3554
119,324.9016,11.4608,561.8660,799.5021,198.1159
120,73.1096,16.9369,-912.6765,277.1258,290.4648
121,5.1683,14.1675,-87.0853,962.8125,244.0393
122,339.1460,-4.2282,353.9786,929.2159,-73.5127
123,191.4250,14.4147,191.2866,-946.5455,248.2096
124,73.5615,21.2882,-891.0602,262.9034,361.9952
125,100.4527,0.0494,-980.5225,-180.8922,0.8601
126,1.5529,23.2216,-24.8314,915.9566,393.1335
127,201.0492,23.1155,329.3658,-855.8293,391.4349
128,109.9611,20.7495,-876.3832,-318.3038,353.2452
129,227.9133,-6.5106,735.1845,-663.9799,-113.0552
130,174.5092,7.0395,-94.6863,-985.0128,122.1937
131,77.8433,24.0805,-889.8840,191.6958,406.8246
132,52.5495,-16.3459,-759.5580,581.7875,-280.6100
133,272.7676,-0.0794,995.9053,48.1437,-1.3809
134,273.2592,-3.7764,993.2951,56.5630,-65.6693
135,33.3408,11.0621,-537.8252,817.4910,191.3099
136,54.1554,18.9900,-764.2443,552.0959,324.4500
137,109.3125,17.7897,-895.9699,-313.9836,304.6294
138,173.0983,13.3201,-116.5913,-963.2153,229.7166
139,10.3712,-15.8439,-172.6781,943.5187,-272.2165
140,250.7371,23.7047,861.8345,-301.1830,400.8452
141,124.1172,21.8576,-766.1247,-519.0406,371.2099
142,181.2237,-17.9541,20.2567,-948.2993,-307.3521
143,306.0960,-18.2448,765.1597,557.8831,-312.1604
144,44.0669,12.9323,-675.8705,698.2499,223.1440
145,298.2598,22.4663,811.5746,436.2532,381.0208
146,261.4774,11.6154,965.8657,-144.7396,200.7511
147,311.0084,-16.7949,720.3077,626.3401,-288.1005
148,138.5615,22.1643,-611.1149,-692.2357,376.1588
149,115.9036,-20.1353,-842.0779,-408.9559,-343.2299
150,29.0966,-7.1286,-481.1102,864.5057,-123.7337
151,118.9618,16.3712,-837.0086,-463.2320,281.0336
152,4.3375,-23.8317,-68.9793,909.4434,-402.8666
153,126.8280,-15.2505,-769.9879,-576.6112,-262.2692
154,250.8853,-14.9673,910.1335,-315.4244,-257.5102
155,83.0083,-6.4431,-983.4040,120.6014,-111.8880
156,32.5500,18.1310,-509.8214,798.7218,310.2783
157,295.1191,-10.1646,888.6045,416.6143,-175.9589
158,154.7232,14.5242,-412.1352,-872.7915,250.0531
159,168.3464,21.7549,-187.0572,-906.9671,369.5501
160,327.3333,17.6397,512.8655,799.8913,302.1421
161,215.4572,-3.6102,577.2468,-810.5500,-62.7835
162,195.2078,20.4250,245.1087,-901.6619,347.9578
163,111.9863,15.8664,-889.3318,-359.0656,272.5947
164,127.3841,5.3930,-788.7473,-602.6965,93.7105
165,140.0403,-10.6009,-629.4366,-751.2064,-183.4273
166,101.1884,11.4131,-958.7780,-189.6420,197.3012
167,66.2558,3.8064,-910.6565,400.5878,66.1901
168,311.8912,-19.1620,701.1086,628.8742,-327.2784
169,74.6827,18.0081,-914.5425,250.4871,308.2453
170,49.9489,-3.5973,-761.7241,640.3201,-62.5592
171,54.5663,18.2921,-771.3473,548.8513,312.9419
172,127.6893,-11.6576,-772.7428,-597.0137,-201.4703
173,144.2115,-24.3558,-531.1876,-736.8221,-411.1934
174,146.4907,-0.3536,-550.4437,-831.3369,-6.1534
175,263.8459,-20.3928,929.1926,-100.1892,-347.4338
176,295.3193,21.4351,838.9489,396.9145,364.3768
177,230.3491,-14.7713,742.3194,-615.2108,-254.2138
178,8.3352,-13.6115,-140.4790,958.8290,-234.6478
179,347.3241,-6.4544,217.4058,966.6017,-112.0838
180,55.1758,8.1537,-810.2279,563.6310,141.4133
181,353.3474,21.2468,107.6576,923.0397,361.3233
182,151.7319,-12.6867,-460.6808,-856.7205,-218.9753
183,22.9872,15.8870,-374.5073,882.8342,272.9380
184,227.5159,-1.9895,734.8607,-672.9998,-34.6141
185,248.7404,5.2286,925.3494,-360.0270,90.8632
186,96.3099,9.2157,-978.2371,-108.1687,159.6829
187,69.3898,25.2270,-844.2460,317.5027,424.9561
188,35.6919,-7.5860,-576.6248,802.6987,-131.6273
189,106.2932,-18.6288,-906.8852,-265.0752,-318.4988
190,144.7112,-20.6396,-539.0347,-761.6218,-351.4554
191,281.1990,-18.5778,927.1174,183.5573,-317.6591
192,59.5388,-22.4857,-794.1069,467.0413,-381.3313
193,122.8302,2.0062,-837.3044,-540.2313,34.9053
194,168.6953,11.6292,-191.4406,-957.6544,200.9863
195,210.3714,21.2872,469.7269,-801.5453,361.9790
196,260.2407,-12.3239,959.9967,-165.1185,-212.8127
197,227.7041,-2.9135,736.5576,-670.1205,-50.6797
198,160.5330,16.7950,-318.1127,-899.9714,288.1017
199,308.9172,12.2773,758.0326,612.0302,212.0204
200,161.0992,-21.2690,-300.9830,-879.0568,-361.6839
